Coating,Humidity,Stress,Fatigue
Uncoated,Low,13000,4580.00
Uncoated,Low,13000,10126.00
Uncoated,Low,13000,1341.00
Uncoated,Low,13000,6414.00
Uncoated,Low,13000,3549.00
Uncoated,Low,17000,5252.00
Uncoated,Low,17000,897.00
Uncoated,Low,17000,1465.00
Uncoated,Low,17000,2694.00
Uncoated,Low,17000,1017.00
Uncoated,Low,20000,361.00
Uncoated,Low,20000,466.00
Uncoated,Low,20000,1069.00
Uncoated,Low,20000,469.00
Uncoated,Low,20000,937.00
Uncoated,Medium,13000,2858.00
Uncoated,Medium,13000,8829.00
Uncoated,Medium,13000,10914.00
Uncoated,Medium,13000,4067.00
Uncoated,Medium,13000,2595.00
Uncoated,Medium,17000,799.00
Uncoated,Medium,17000,3471.00
Uncoated,Medium,17000,685.00
Uncoated,Medium,17000,810.00
Uncoated,Medium,17000,3409.00
Uncoated,Medium,20000,314.00
Uncoated,Medium,20000,244.00
Uncoated,Medium,20000,261.00
Uncoated,Medium,20000,522.00
Uncoated,Medium,20000,739.00
Uncoated,High,13000,6489.00
Uncoated,High,13000,5248.00
Uncoated,High,13000,6816.00
Uncoated,High,13000,5860.00
Uncoated,High,13000,5901.00
Uncoated,High,17000,1862.00
Uncoated,High,17000,2710.00
Uncoated,High,17000,2632.00
Uncoated,High,17000,2131.00
Uncoated,High,17000,2470.00
Uncoated,High,20000,1344.00
Uncoated,High,20000,1027.00
Uncoated,High,20000,663.00
Uncoated,High,20000,1216.00
Uncoated,High,20000,1097.00
Chromated,Low,13000,5395.00
Chromated,Low,13000,2768.00
Chromated,Low,13000,1821.00
Chromated,Low,13000,3604.00
Chromated,Low,13000,4106.00
Chromated,Low,17000,4035.00
Chromated,Low,17000,2022.00
Chromated,Low,17000,914.00
Chromated,Low,17000,2036.00
Chromated,Low,17000,3524.00
Chromated,Low,20000,130.00
Chromated,Low,20000,841.00
Chromated,Low,20000,1595.00
Chromated,Low,20000,1482.00
Chromated,Low,20000,529.00
Chromated,Medium,13000,4833.00
Chromated,Medium,13000,7414.00
Chromated,Medium,13000,10022.00
Chromated,Medium,13000,7463.00
Chromated,Medium,13000,21906.00
Chromated,Medium,17000,1847.00
Chromated,Medium,17000,1684.00
Chromated,Medium,17000,3042.00
Chromated,Medium,17000,4482.00
Chromated,Medium,17000,996.00
Chromated,Medium,20000,252.00
Chromated,Medium,20000,105.00
Chromated,Medium,20000,847.00
Chromated,Medium,20000,874.00
Chromated,Medium,20000,755.00
Chromated,High,13000,3287.00
Chromated,High,13000,5200.00
Chromated,High,13000,5493.00
Chromated,High,13000,4145.00
Chromated,High,13000,3336.00
Chromated,High,17000,1319.00
Chromated,High,17000,929.00
Chromated,High,17000,1263.00
Chromated,High,17000,2236.00
Chromated,High,17000,1392.00
Chromated,High,20000,586.00
Chromated,High,20000,402.00
Chromated,High,20000,846.00
Chromated,High,20000,524.00
Chromated,High,20000,751.00
